,data_jogo,liga,temporada,local,id_time_casa,time_casa,id_time_fora,time_fora,gols_casa,gols_fora,empate,vitoria_casa,vitoria_fora
4531,2020-05-27 20:30:00,1. Fußball-Bundesliga 2019/2020,2019,Sinsheim,175,TSG 1899 Hoffenheim,65,1. FC Köln,1,0,0.0,1.0,0.0
4532,2020-05-27 20:30:00,1. Fußball-Bundesliga 2019/2020,2019,Düsseldorf,185,Fortuna Düsseldorf,9,FC Schalke 04,0,0,1.0,0.0,0.0
4533,2020-05-27 20:30:00,1. Fußball-Bundesliga 2019/2020,2019,Augsburg,95,FC Augsburg,31,SC Paderborn 07,0,0,1.0,0.0,0.0
4534,2020-05-27 20:30:00,1. Fußball-Bundesliga 2019/2020,2019,Berlin,80,1. FC Union Berlin,81,1. FSV Mainz 05,1,1,1.0,0.0,0.0
4535,2020-05-29 20:30:00,1. Fußball-Bundesliga 2019/2020,2019,Freiburg,112,SC Freiburg,6,Bayer Leverkusen,0,0,1.0,0.0,0.0
4536,2020-05-30 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,Wolfsburg,131,VfL Wolfsburg,91,Eintracht Frankfurt,0,1,0.0,0.0,1.0
4537,2020-05-30 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,Berlin,54,Hertha BSC,95,FC Augsburg,1,0,0.0,1.0,0.0
4538,2020-05-30 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,Mainz,81,1. FSV Mainz 05,175,TSG 1899 Hoffenheim,0,1,0.0,0.0,1.0
4539,2020-05-30 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,Gelsenkirchen,9,FC Schalke 04,134,Werder Bremen,0,1,0.0,0.0,1.0
4540,2020-05-30 18:30:00,1. Fußball-Bundesliga 2019/2020,2019,München,40,FC Bayern München,185,Fortuna Düsseldorf,3,0,0.0,1.0,0.0
4541,2020-05-31 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,Gladbach,87,Borussia Mönchengladbach,80,1. FC Union Berlin,2,0,0.0,1.0,0.0
4542,2020-05-31 18:00:00,1. Fußball-Bundesliga 2019/2020,2019,Paderborn,31,SC Paderborn 07,7,Borussia Dortmund,0,0,1.0,0.0,0.0
4543,2020-06-01 20:30:00,1. Fußball-Bundesliga 2019/2020,2019,Köln,65,1. FC Köln,1635,RB Leipzig,1,2,0.0,0.0,1.0
4544,2020-06-03 20:30:00,1. Fußball-Bundesliga 2019/2020,2019,Bremen,134,Werder Bremen,91,Eintracht Frankfurt,0,0,1.0,0.0,0.0
4545,2020-06-05 20:30:00,1. Fußball-Bundesliga 2019/2020,2019,Freiburg,112,SC Freiburg,87,Borussia Mönchengladbach,0,0,1.0,0.0,0.0
4546,2020-06-06 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,Leipzig,1635,RB Leipzig,31,SC Paderborn 07,1,0,0.0,1.0,0.0
4547,2020-06-06 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,Leverkusen,6,Bayer Leverkusen,40,FC Bayern München,1,3,0.0,0.0,1.0
